Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.003618160443293,24.95,24.73,24,True
2,3.9250118072013116,28.08,27.57,47,True
3,3.900100245039879,30.79,30.06,70,True
4,3.864929132514383,34.76,33.47,94,True
5,3.8361642776764002,36.97,35.48,117,True
6,3.814153699003098,38.8,36.93,140,True
7,3.7988053398449333,40.59,38.34,163,True
8,3.785703932479478,41.88,39.16,187,True
9,3.7756768131520277,42.87,39.76,212,True
10,3.764933811990838,44.09,40.58,237,True
11,3.7542912497744996,45.23,41.08,262,True
12,3.7430272458993166,46.53,42.38,287,True
13,3.7270370830789497,48.04,43.34,311,True
14,3.7179059057684816,48.75,43.65,337,True
15,3.708636803640223,49.88,44.13,361,True
16,3.7011299113487603,50.88,44.5,386,True
17,3.693155636087349,51.23,44.53,412,True
18,3.6862448675150357,51.92,44.84,437,True
19,3.677592046373108,53.11,45.28,461,True
20,3.6712418672450693,53.57,45.64,487,True
21,3.665448067260911,54.43,45.95,511,True
22,3.6585875812329745,55.02,45.96,536,True
23,3.6529675309347645,55.9,45.99,559,True
24,3.6474594231127373,56.26,46.14,582,True
25,3.641645053747288,56.87,46.34,605,True
26,3.6360011444197466,57.45,46.52,628,True
27,3.6304523885415203,58.26,46.86,651,True
28,3.6256866369221017,58.34,46.88,673,True
29,3.6203384214491066,58.92,46.85,696,False
30,3.6151503902393034,59.88,47.37,719,True
31,3.6093769760343175,60.37,47.46,742,True
32,3.603942525684008,60.86,47.48,764,True
33,3.5998803638025003,61.36,47.53,787,True
34,3.5942906719165495,61.73,47.58,811,True
35,3.591214519458464,61.97,47.39,836,False
36,3.5871949664773704,62.51,47.57,861,False
37,3.5838191938532358,62.93,47.62,886,True
38,3.580859809040693,63.24,47.48,910,False
39,3.576797993889806,63.5,47.69,935,True
40,3.573577983887902,63.9,47.6,960,False
41,3.571218964795987,64.26,47.75,985,True
42,3.567272246379271,64.6,47.88,1010,True
43,3.5645805032629716,64.79,47.62,1035,False
44,3.5617112287854225,65.05,47.79,1059,False
45,3.5600530731380813,65.46,47.8,1084,False
46,3.557039626087178,65.65,47.95,1109,True
47,3.5547819791408126,65.94,47.67,1134,False
48,3.550570532885945,66.11,47.87,1159,False
49,3.54960431022327,66.34,47.83,1184,False
50,3.5477209269505128,66.47,47.94,1208,False
51,3.5453570443837594,66.82,47.75,1233,False
52,3.543047813167202,66.92,47.89,1258,False
53,3.541172353184454,67.29,47.91,1283,False
54,3.539331875349346,67.37,47.72,1307,False
55,3.537919271025301,67.83,47.77,1332,False
56,3.5355708684947684,67.68,47.79,1357,False
57,3.53433899668115,67.97,47.8,1382,False
58,3.531786510488663,68.26,48.04,1406,True
59,3.5303517173862193,68.14,47.74,1431,False
60,3.5281108905073677,68.45,47.89,1456,False
61,3.5268337435999735,68.62,47.72,1481,False
62,3.52525310172929,68.76,47.9,1505,False
63,3.5235176978018807,68.99,47.7,1530,False
64,3.52237906680543,68.97,47.83,1555,False
65,3.520808715239126,69.24,47.89,1579,False
66,3.5201634046443613,69.3,48.02,1604,False
67,3.5188589736695435,69.42,47.79,1629,False
68,3.5184433816872804,69.68,47.78,1654,False
69,3.515956162745933,69.61,47.89,1678,False
70,3.5138058695436514,69.99,47.91,1703,False
71,3.5129336921131844,69.98,47.79,1727,False
72,3.5120282285431417,70.05,47.69,1752,False
73,3.510574846716799,70.32,47.91,1777,False
74,3.509298856238579,70.37,47.83,1802,False
75,3.5081075472844936,70.56,48.11,1827,True
76,3.5057631925862913,70.92,47.99,1851,False
77,3.504647836130412,70.98,47.96,1876,False
78,3.5033503377866877,71.09,48.05,1901,False
79,3.5016721761127587,71.29,47.83,1925,False
80,3.501590996237673,71.32,48.09,1950,False
81,3.4995996073672644,71.53,48.04,1975,False
82,3.4982929896779997,71.63,48.03,2000,False
83,3.4969697579782757,71.73,48.02,2024,False
84,3.495481152283518,71.99,48.1,2049,False
85,3.4950816809635743,71.83,48.03,2074,False
86,3.494629866528709,71.96,48.01,2099,False
87,3.4935762736936025,72.14,48.05,2124,False
88,3.492373172596221,72.09,47.95,2149,False
89,3.490503955085522,72.46,48.24,2174,True
90,3.4894399477834517,72.49,48.03,2198,False
91,3.489413839958381,72.47,48.1,2223,False
92,3.488196237595788,72.48,48.11,2248,False
93,3.4872366358368683,72.67,48.21,2273,False
94,3.4861999766648313,72.84,48.0,2298,False
95,3.485842401631321,72.75,48.08,2322,False
96,3.4843255621574594,72.94,47.88,2347,False
97,3.4843898103507933,73.03,48.07,2372,False
98,3.483101393047132,73.12,48.07,2396,False
99,3.481875940703289,73.11,47.99,2421,False
100,3.481617125777987,73.36,47.87,2446,False
101,3.479774870040344,73.37,47.75,2470,False
102,3.480046488241476,73.41,48.04,2495,False
103,3.478900354654835,73.46,47.95,2520,False
104,3.4791565258417103,73.46,47.97,2545,False
105,3.478425172557461,73.66,47.99,2569,False
106,3.4775455519763385,73.57,48.02,2594,False
107,3.4770273792446487,73.82,48.07,2619,False
108,3.4749691658072854,73.94,48.05,2644,False
109,3.474519787072475,73.82,48.13,2668,False
110,3.4743089642881357,73.92,48.08,2693,False
