Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.093666874901366,12.4,11.3,10,True
2,4.051280333850924,15.57,13.68,21,True
3,4.026754895626511,17.9,15.46,31,True
4,4.007829101046146,19.47,16.68,42,True
5,3.993043416112826,21.07,17.28,50,True
6,3.979799485338327,22.04,17.67,56,True
7,3.9686934065423616,23.02,18.04,62,True
8,3.957744255908945,23.92,18.25,69,True
9,3.948649099518581,24.74,18.54,76,True
10,3.9401915218290045,25.44,18.69,83,True
11,3.9327929125306356,26.07,18.76,91,True
12,3.925714528363054,26.72,18.95,100,True
13,3.9193708593674126,27.49,19.16,109,True
14,3.91305291323372,27.99,19.32,118,True
15,3.90667466959242,28.69,19.69,127,True
16,3.9005489151780774,29.23,19.8,136,True
17,3.8968962398023237,29.73,19.93,146,True
18,3.891421439239333,30.18,19.91,155,False
19,3.8861577537178333,30.62,19.91,165,False
20,3.881699274916675,30.85,20.0,174,True
21,3.8780793353338927,31.28,19.87,182,False
22,3.875139246988033,31.71,20.01,189,True
23,3.8715263677565432,32.03,20.2,196,True
24,3.8688885045973636,32.44,20.31,203,True
25,3.8651417566267825,32.44,20.23,210,False
26,3.8634630514113284,32.87,20.34,217,True
27,3.8606112938559516,33.13,20.41,224,True
28,3.8580511472501806,33.36,20.4,232,False
29,3.8563049827491382,33.45,20.35,239,False
30,3.857161957914658,33.46,20.37,246,False
31,3.854748310963752,33.84,20.47,253,True
32,3.850924300884015,34.15,20.49,261,True
33,3.848031694717829,34.45,20.62,268,True
34,3.8483404955152647,34.44,20.56,277,False
35,3.8457262199886597,34.67,20.53,285,False
36,3.843923962577272,34.68,20.56,292,False
37,3.8426241584904286,34.9,20.57,299,False
38,3.8412906636190676,35.02,20.5,307,False
39,3.8395590848027012,35.2,20.5,315,False
40,3.8375263451212676,35.37,20.55,322,False
41,3.836235112248205,35.45,20.49,330,False
42,3.8365032699226673,35.58,20.55,337,False
43,3.836854638315696,35.65,20.44,345,False
44,3.842055298346841,35.49,20.63,352,True
45,3.835799151362635,35.9,20.63,359,False
46,3.832560910704386,36.13,20.74,368,True
47,3.841040343869457,35.81,20.72,379,False
48,3.832858634917117,36.13,20.88,389,True
49,3.8289461754962226,36.48,20.8,399,False
50,3.826179084198251,36.69,20.95,409,True
51,3.8250861312802984,36.77,20.94,418,False
52,3.8234476845567396,36.82,20.79,427,False
53,3.8230601647940787,36.94,20.9,436,False
54,3.8285518548765234,36.6,20.86,443,False
55,3.82423870471301,37.03,20.77,450,False
56,3.8220688690796742,37.09,20.74,457,False
57,3.8207122858058025,37.22,20.95,464,False
58,3.8197752981554736,37.18,20.88,472,False
59,3.8186865511520134,37.43,21.07,479,True
60,3.8182671926298193,37.47,20.87,486,False
61,3.8170613570766556,37.53,20.75,493,False
62,3.8166756695805333,37.63,20.94,501,False
63,3.816111382858529,37.76,21.08,511,True
64,3.814786540869191,37.73,20.81,520,False
65,3.8145970507879943,37.91,20.8,529,False
66,3.8133943976618307,37.97,20.9,536,False
67,3.813946800337312,37.93,20.89,544,False
68,3.8167250274953264,37.84,20.87,554,False
69,3.8147164826893674,38.02,21.07,564,False
70,3.812840096858325,38.17,20.94,574,False
71,3.8100415777764924,38.2,21.1,584,True
72,3.809636458507559,38.33,21.06,593,False
73,3.8089893233051617,38.45,21.13,603,True
74,3.807236123480191,38.49,21.04,613,False
75,3.8069560369733946,38.71,20.96,622,False
76,3.8062931779998443,38.6,20.96,632,False
77,3.806050004221458,38.71,21.03,641,False
78,3.8048351680376253,38.83,20.94,648,False
79,3.8038660057341853,38.75,21.09,656,False
80,3.8053194541298883,38.74,21.03,663,False
81,3.8044339556720375,38.75,21.03,670,False
82,3.8043027134890055,38.86,21.11,678,False
83,3.8036644537804536,38.94,21.08,685,False
84,3.804294512416776,39.01,21.14,695,True
85,3.803278454100888,39.15,21.02,705,False
86,3.80174825731562,39.2,21.03,715,False
87,3.8010562111659603,39.22,21.18,723,True
88,3.801035069628974,39.39,21.18,731,False
89,3.7984814670204456,39.47,21.28,738,True
90,3.798909934186145,39.48,21.28,746,False
91,3.802569283964884,39.31,21.16,753,False
92,3.799239046665845,39.56,21.35,762,True
93,3.798021561533048,39.66,21.41,772,True
94,3.795479698075774,39.75,21.36,782,False
95,3.795474101166699,39.84,21.35,792,False
96,3.7946721440520736,39.9,21.27,802,False
97,3.795790573510017,39.91,21.42,812,True
98,3.793826399587136,39.97,21.39,822,False
99,3.7936976114030703,40.06,21.45,832,True
100,3.7922629467031572,40.02,21.44,841,False
101,3.793349023681978,40.03,21.31,852,False
102,3.792681551769952,40.09,21.52,862,True
103,3.7923995025908748,40.21,21.39,872,False
104,3.7923576963540597,40.21,21.46,882,False
105,3.79120997170717,40.2,21.63,892,True
106,3.7920558768741333,40.23,21.32,903,False
107,3.792375323522157,40.22,21.47,913,False
108,3.790372449390137,40.4,21.39,923,False
109,3.7901249024090844,40.34,21.22,932,False
110,3.7909897849046064,40.43,21.5,942,False
111,3.7896311322628464,40.42,21.51,952,False
112,3.7958091306422954,40.23,21.48,961,False
113,3.7910326870765476,40.37,21.39,971,False
114,3.79029200880567,40.5,21.38,979,False
115,3.788872222215431,40.66,21.47,989,False
116,3.7911153261174153,40.49,21.51,999,False
117,3.789217959451412,40.5,21.5,1009,False
118,3.788211524815849,40.61,21.35,1019,False
119,3.788371407524657,40.5,21.34,1028,False
120,3.7885017921911417,40.61,21.36,1039,False
121,3.7913329864733787,40.41,21.32,1048,False
122,3.788527277951741,40.67,21.46,1058,False
123,3.7879149795237166,40.79,21.37,1069,False
124,3.786943239401717,40.76,21.4,1079,False
125,3.786236600981233,40.89,21.41,1089,False
126,3.7853777737907284,40.93,21.49,1100,False
