Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.119717276557374,9.62,9.04,5,True
2,4.08544125477912,11.04,10.13,9,True
3,4.076018154291817,11.5,10.46,14,True
4,4.0711233075811055,11.84,10.67,19,True
5,4.067740925109189,12.13,10.85,23,True
6,4.06461500989798,12.44,11.06,28,True
7,4.061939718973571,12.62,11.27,34,True
8,4.05984654084095,12.85,11.57,39,True
9,4.057635300725863,13.04,11.58,44,True
10,4.056319929618203,13.22,11.71,50,True
11,4.054547926338997,13.35,11.85,55,True
12,4.052536249160767,13.55,12.01,61,True
13,4.050666450795548,13.68,12.17,66,True
14,4.048723399968437,13.89,12.39,72,True
15,4.047020939832234,14.05,12.47,77,True
16,4.046192386532357,14.17,12.6,82,True
17,4.043659415692915,14.38,12.75,87,True
18,4.042414628339736,14.51,12.9,92,True
19,4.040923411016307,14.64,13.08,97,True
20,4.039701380123749,14.75,13.13,103,True
21,4.0389397710726405,14.83,13.22,108,True
22,4.038326197566248,14.88,13.21,113,False
23,4.037588681963926,14.92,13.22,118,True
24,4.0372604507109076,14.95,13.29,123,True
25,4.0364248739421695,14.97,13.32,128,True
26,4.035888076487167,15.07,13.32,133,False
27,4.035527388693878,15.08,13.4,138,True
28,4.035181523686615,15.12,13.49,144,True
29,4.034343716847962,15.26,13.47,149,False
30,4.03397213029598,15.33,13.65,155,True
31,4.033773341890198,15.32,13.62,160,False
32,4.033055662450211,15.4,13.72,166,True
33,4.032276222060399,15.56,13.8,171,True
34,4.031316840187621,15.59,13.85,177,True
35,4.0309153801828455,15.62,13.85,182,False
36,4.030377351118056,15.64,13.87,187,True
37,4.0301146217472645,15.6,13.91,193,True
38,4.029941398135865,15.74,13.88,198,False
39,4.02935018196949,15.75,13.91,203,True
40,4.028904647458324,15.77,13.91,211,False
41,4.0289031642576605,15.78,13.99,221,True
42,4.028775319210074,15.77,13.89,227,False
43,4.02878437779885,15.76,13.86,232,False
44,4.028442422329392,15.85,13.95,237,False
45,4.027837911363465,15.82,13.86,242,False
46,4.027941078112271,15.96,13.93,247,False
47,4.027188763434057,15.93,13.95,253,False
48,4.027265917530376,15.86,13.92,258,False
49,4.027221218657099,15.93,13.92,263,False
50,4.02689036479971,15.99,13.94,268,False
51,4.02687851631839,15.97,13.99,273,False
52,4.026337836987405,15.99,14.01,279,True
53,4.026293248761425,15.94,13.92,284,False
54,4.026391572056554,16.03,14.05,289,True
55,4.026034559334181,16.06,14.06,295,True
56,4.0256428441948655,16.06,14.05,300,False
57,4.025438904103654,16.1,14.08,305,True
58,4.025984941925133,16.01,13.94,311,False
59,4.025207386491048,16.14,14.13,316,True
60,4.025117970303278,16.15,14.14,322,True
61,4.024818088468267,16.22,14.16,327,True
62,4.024950045907036,16.17,14.18,333,True
63,4.024365895360873,16.12,14.02,338,False
64,4.024407103575395,16.16,14.12,344,False
65,4.024283871466284,16.18,14.13,349,False
66,4.023903985049843,16.28,14.13,354,False
67,4.02424571263856,16.17,14.23,359,True
68,4.023766218628014,16.19,14.17,364,False
69,4.023817821102248,16.24,14.23,370,True
70,4.023305197447044,16.23,14.25,375,True
71,4.023427278297382,16.24,14.15,380,False
72,4.0238958695975455,16.25,14.21,385,False
73,4.0241996201362396,16.27,14.33,391,True
74,4.022868916474653,16.37,14.32,396,False
75,4.022353271094475,16.34,14.29,401,False
76,4.02227703379004,16.41,14.38,406,True
77,4.0219876226140645,16.37,14.34,412,False
78,4.022037683929527,16.47,14.4,417,True
79,4.02180407455613,16.46,14.42,422,True
80,4.021729815730732,16.27,14.27,427,False
81,4.021925170118638,16.46,14.33,432,False
82,4.021382367413347,16.5,14.41,438,False
83,4.021804040308156,16.51,14.42,443,False
84,4.022662443350692,16.31,14.24,448,False
85,4.021765390153748,16.43,14.39,453,False
86,4.0213393071738395,16.41,14.32,459,False
