Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.097496962679025,11.1,10.65,6,True
2,4.066297960544818,13.24,12.4,11,True
3,4.050845662533249,14.38,13.31,16,True
4,4.043126801759499,15.57,14.01,22,True
5,4.030532557661362,16.82,15.16,27,True
6,4.020155120291104,18.08,16.01,32,True
7,4.009549324025107,18.98,16.53,38,True
8,4.0024027297509965,19.74,17.36,43,True
9,3.9940928767399235,20.44,17.57,48,True
10,3.98954884123407,21.05,17.86,54,True
11,3.9826380587414483,21.9,18.47,59,True
12,3.9783713857113328,22.32,18.45,65,False
13,3.9728150565321276,22.87,18.81,71,True
14,3.9668048231641233,23.37,18.89,76,True
15,3.9610136543189625,24.03,19.45,82,True
16,3.9580347722406546,24.47,19.75,88,True
17,3.951637090240394,24.89,20.01,94,True
18,3.947765180419163,25.52,20.04,99,True
19,3.9429606903982424,25.64,20.36,105,True
20,3.9410939572265793,26.21,20.3,111,False
21,3.9371566100673783,26.58,20.61,116,True
22,3.9341658017911962,26.83,20.49,122,False
23,3.930118930932567,27.21,20.68,128,True
24,3.9269167691963154,27.53,20.91,134,True
25,3.9223068853768197,28.22,21.19,139,True
26,3.9187868537165182,28.51,21.57,145,True
27,3.9153995342676153,28.68,21.6,151,True
28,3.913850806694663,29.0,21.52,156,False
29,3.911629966609386,29.26,21.62,162,True
30,3.9078312960777493,29.67,21.63,168,True
31,3.9040103406537305,30.0,21.62,173,False
32,3.902064422217522,30.09,21.62,179,False
33,3.8996902131243965,30.43,21.9,185,True
34,3.8975243871383247,30.74,21.89,191,False
35,3.8948076996355425,31.08,22.1,196,True
36,3.8927248485839168,31.1,22.24,202,True
37,3.8910933476126655,31.44,22.07,208,False
38,3.8876425561325325,31.61,22.33,214,True
39,3.886271815273643,31.73,22.34,219,True
40,3.886764215500974,31.99,22.51,225,True
41,3.8827690603983336,32.24,22.41,231,False
42,3.880908339063107,32.41,22.68,236,True
43,3.8805994526457392,32.52,22.44,242,False
44,3.878610493728469,32.67,22.71,248,True
45,3.875715795801489,33.02,22.63,254,False
46,3.8744488579133596,33.13,22.71,260,True
47,3.871588531778662,33.32,22.98,267,True
