Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.1008763471361025,13.21,12.29,4,True
2,4.055965878028237,15.47,14.08,9,True
3,4.038775322845628,16.84,15.11,14,True
4,4.027739783018333,17.87,15.76,19,True
5,4.018403311460716,18.98,16.55,24,True
6,4.010909218814492,19.79,17.2,28,True
7,4.0038950667196875,20.7,18.1,33,True
8,3.9977137462868875,21.35,18.47,37,True
9,3.993435671316326,21.84,18.93,42,True
10,3.988644852822657,22.35,19.45,46,True
11,3.983522274217553,22.86,19.73,51,True
12,3.978708027476105,23.33,20.28,55,True
13,3.974860190027985,23.62,20.22,60,False
14,3.9715546125865115,24.24,20.82,65,True
15,3.967269781544722,24.56,20.92,71,True
16,3.9654986423682113,24.87,21.11,76,True
17,3.9633432646482687,25.01,21.45,81,True
18,3.96045905582154,25.22,21.4,86,False
19,3.9575351601806137,25.63,21.87,91,True
20,3.9555248265766965,25.87,22.14,96,True
21,3.9531450100366583,26.2,22.21,101,True
22,3.9517465691540123,26.42,22.32,106,True
23,3.9487733037432253,26.64,22.48,112,True
24,3.9467752888716388,26.74,22.75,117,True
25,3.9452968104768193,26.96,22.85,122,True
26,3.9441648082838534,27.14,22.94,127,True
27,3.942608160208602,27.31,22.9,132,False
28,3.9412149737553044,27.53,23.3,137,True
29,3.940321815606639,27.64,23.19,143,False
30,3.939162239843969,27.75,23.05,148,False
31,3.9380757518894765,28.01,23.43,153,True
32,3.9369320777239722,27.95,23.4,158,False
33,3.937313583015737,28.06,23.35,163,False
34,3.935059797697963,28.25,23.62,169,True
35,3.9329121205029565,28.3,23.54,174,False
36,3.9330050747697523,28.53,23.85,179,True
37,3.933032644387767,28.51,23.73,184,False
38,3.9322221529417933,28.7,23.82,190,False
39,3.9306907205950488,29.0,24.02,195,True
40,3.929334208451582,29.02,24.17,200,True
41,3.928669468473993,29.13,24.16,205,False
42,3.9266078063796237,29.27,24.16,211,False
43,3.9257561080363574,29.43,24.19,216,True
44,3.9252322260187476,29.47,24.34,221,True
45,3.9250987774759367,29.56,24.37,226,True
46,3.923844834058983,29.66,24.37,232,True
47,3.9242574351927195,29.65,24.33,237,False
48,3.9224747663044797,29.84,24.53,243,True
49,3.92172969638972,30.0,24.65,249,True
50,3.921267492336463,29.97,24.55,256,False
51,3.9197887096615784,30.03,24.73,262,True
52,3.920766329897043,30.06,24.79,269,True
53,3.919054188122407,30.19,24.68,275,False
54,3.9190509556406767,30.19,24.72,281,False
55,3.9178702106791965,30.3,24.78,288,False
56,3.9185400641425536,30.28,24.77,294,False
57,3.9159624128710497,30.46,25.03,300,True
58,3.9147242920174783,30.56,25.0,306,False
59,3.91529622657523,30.73,25.1,313,True
60,3.91503203639668,30.7,24.99,319,False
61,3.9139894938600657,30.67,24.96,325,False
62,3.913510612361339,30.94,25.1,332,True
63,3.913925126112627,30.82,25.02,338,False
64,3.9133425628282748,30.97,25.15,344,True
65,3.9127074420781427,31.02,25.27,351,True
66,3.911329015183844,31.09,25.15,357,False
67,3.9116923479744083,31.23,25.35,363,True
68,3.911250118392607,31.35,25.38,370,True
69,3.9087793510921753,31.29,25.44,376,True
70,3.9120621417767434,31.37,25.54,383,True
71,3.9099233255860555,31.26,25.53,389,False
72,3.9087264182159256,31.4,25.59,395,True
73,3.909213558744989,31.46,25.37,402,False
74,3.909524838568756,31.65,25.63,408,True
75,3.9086013419852073,31.65,25.52,415,False
76,3.9084889216976273,31.68,25.51,421,False
77,3.907448946441735,31.82,25.64,427,True
78,3.905992913641324,31.81,25.75,434,True
79,3.9055462739744238,31.87,25.61,440,False
80,3.906116393389623,31.9,25.74,447,False
81,3.9047214813653937,32.04,25.73,453,False
82,3.9034486330675158,32.22,25.77,460,True
83,3.9039241872439727,32.12,25.76,466,False
84,3.9034014182854753,32.21,25.87,473,True
85,3.904121883666318,32.23,25.86,479,False
86,3.9042616931114407,32.24,25.73,486,False
87,3.9037769407198573,32.34,25.69,492,False
88,3.9026231331061263,32.35,25.73,499,False
89,3.902208021332546,32.48,25.87,505,False
90,3.901565554392272,32.48,26.06,512,True
91,3.901171580203989,32.4,25.92,518,False
92,3.901252134070212,32.55,25.88,525,False
93,3.9001642854174197,32.56,25.94,532,False
94,3.900841932929023,32.56,25.87,538,False
95,3.9008500022782804,32.68,26.05,545,False
96,3.9016475032047673,32.58,25.83,551,False
97,3.900512015621965,32.66,25.96,558,False
98,3.898375592837676,32.7,26.04,564,False
99,3.898471614932487,32.79,26.16,570,True
100,3.8991587056639445,32.84,25.89,577,False
101,3.898370051252249,32.93,26.12,583,False
102,3.8984053016367537,33.01,26.18,590,True
103,3.8968721252778615,32.93,26.33,596,True
104,3.897641756257958,33.05,26.33,603,False
105,3.8964638907606433,33.12,26.23,609,False
106,3.8970478252811325,33.13,26.41,616,True
107,3.897276398885316,33.13,26.35,622,False
108,3.8965770552830143,33.25,26.23,629,False
109,3.8963439675325846,33.27,26.24,635,False
110,3.896667732059626,33.11,26.2,642,False
111,3.89653585365464,33.17,26.29,649,False
112,3.8973022811320606,33.31,26.38,655,False
113,3.894041590927714,33.37,26.43,661,True
114,3.894449340704396,33.37,26.49,668,True
115,3.895937350573461,33.35,26.4,675,False
116,3.8947073873235376,33.28,26.32,681,False
117,3.8954968966173205,33.39,26.33,688,False
118,3.8940920605843896,33.38,26.33,694,False
119,3.8943935929082376,33.47,26.35,701,False
120,3.893187864050681,33.62,26.51,707,True
121,3.892191331030914,33.66,26.25,714,False
122,3.893039126422524,33.61,26.4,720,False
123,3.892392906694781,33.7,26.24,727,False
124,3.89225313544932,33.75,26.56,733,True
125,3.892444232550774,33.78,26.38,740,False
126,3.8922063935527484,33.75,26.25,746,False
127,3.8926309419600345,33.69,26.41,753,False
128,3.8919211158436307,33.78,26.53,760,False
129,3.892523246575456,33.77,26.47,766,False
130,3.890837906473908,33.88,26.51,773,False
131,3.8911247121695,33.91,26.53,780,False
132,3.890474762047193,33.98,26.44,786,False
133,3.8899946107390178,33.94,26.43,793,False
134,3.889703059064749,34.0,26.53,799,False
135,3.889647539149332,34.07,26.7,806,True
136,3.89019189882015,34.19,26.72,813,True
137,3.8895987963808176,34.12,26.64,819,False
138,3.889935115424309,34.12,26.65,826,False
139,3.888808924848862,34.22,26.61,833,False
140,3.888443524007639,34.21,26.6,839,False
141,3.889561005060185,34.31,26.7,846,False
142,3.8877554032025414,34.33,26.71,853,False
143,3.8878353761704587,34.18,26.64,859,False
144,3.8889066171909565,34.37,26.85,866,True
145,3.888475148058728,34.23,26.83,873,False
146,3.8873075556359895,34.39,26.89,879,True
147,3.887987387114467,34.47,26.82,886,False
148,3.8865929585135444,34.49,26.72,893,False
149,3.8857511841789796,34.48,26.84,900,False
150,3.886434855382087,34.52,26.85,906,False
151,3.886661205502505,34.51,26.76,913,False
152,3.8860212926706557,34.64,26.76,920,False
153,3.885914869729985,34.59,26.92,926,True
154,3.8865944667415726,34.57,26.76,933,False
155,3.8866099494596873,34.6,26.71,940,False
156,3.8861208502100317,34.57,26.81,947,False
157,3.8864540987910488,34.6,26.7,953,False
158,3.8860842114654037,34.65,26.81,960,False
159,3.8854911880598544,34.7,26.85,966,False
160,3.884837381088931,34.74,26.85,973,False
161,3.8842941028637124,34.69,26.97,980,True
162,3.885569846432512,34.7,26.95,987,False
163,3.8846691510953955,34.75,26.69,993,False
164,3.8840116585157194,34.66,26.77,1000,False
165,3.8854044300416555,34.81,26.78,1007,False
166,3.883511078291835,34.85,26.82,1014,False
167,3.883081264917363,34.86,26.9,1021,False
168,3.8834347500985498,35.01,26.82,1027,False
169,3.8838129781227746,34.95,26.78,1034,False
170,3.8837398007429766,34.96,26.74,1041,False
171,3.8840000247428432,34.96,26.92,1048,False
172,3.8830580724537045,34.98,26.95,1054,False
173,3.8825104434187243,35.05,26.86,1061,False
174,3.8822526299492432,35.05,26.99,1068,True
175,3.8821917146608973,35.03,26.76,1075,False
176,3.8841242263330282,35.13,27.04,1081,True
177,3.881698535950803,35.08,26.97,1088,False
178,3.8817750314322623,35.05,26.94,1095,False
179,3.881403735988048,35.09,26.93,1102,False
180,3.881110527238793,35.11,26.83,1108,False
181,3.8819895673193328,35.1,26.82,1115,False
182,3.8815947316628137,35.08,26.85,1122,False
183,3.880358274470377,35.21,27.02,1128,False
184,3.880837823804571,35.26,26.92,1135,False
185,3.880862906492876,35.3,27.02,1142,False
186,3.880663721600949,35.26,27.0,1149,False
187,3.881963138422255,35.17,26.99,1156,False
188,3.8806496799321466,35.32,27.07,1162,True
189,3.8804299396704574,35.34,27.07,1169,True
190,3.879642718404696,35.34,27.09,1176,True
191,3.880183597954597,35.39,27.15,1183,True
192,3.8792731458969536,35.36,27.24,1190,True
193,3.8807951626856685,35.46,27.3,1197,True
194,3.879784721037301,35.35,27.3,1203,False
195,3.880470524835323,35.41,27.17,1210,False
196,3.879222536613928,35.48,27.3,1217,False
197,3.8788789095799565,35.5,27.09,1224,False
198,3.878545026094215,35.47,27.15,1231,False
199,3.878748646098606,35.51,27.1,1238,False
200,3.8782165577398477,35.42,27.11,1244,False
