Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.012452750324873,23.85,23.42,17,True
2,3.9359328192026664,28.12,27.32,33,True
3,3.8976798202852794,32.03,31.13,49,True
4,3.8691571604181854,34.74,33.66,66,True
5,3.8420267831585746,36.45,35.59,83,True
6,3.825194866703488,37.97,36.79,100,True
7,3.8116915628850627,39.84,38.18,118,True
8,3.800891785740522,40.66,38.99,135,True
9,3.791328311957151,41.38,39.23,152,True
10,3.7829512684629236,42.36,39.99,168,True
11,3.7756273931413475,42.9,40.26,185,True
12,3.767971783793864,43.95,41.19,203,True
13,3.761144420777001,44.49,41.51,220,True
14,3.7562942868124414,45.07,41.69,236,True
15,3.7513600135443945,45.91,42.2,253,True
16,3.7450472767003027,46.55,42.94,270,True
17,3.739012364205231,47.08,43.16,287,True
18,3.7322955336266936,47.86,43.53,304,True
19,3.7276389598846436,48.28,43.65,321,True
20,3.7223110284831717,49.07,43.99,338,True
21,3.7178332501831477,49.25,44.19,354,True
22,3.7153417621623115,49.85,44.32,371,True
23,3.7095407006483,50.23,44.66,388,True
24,3.7058868956367723,51.06,44.91,405,True
25,3.7012746419933036,51.32,45.02,422,True
26,3.696374535230388,51.48,44.66,440,False
27,3.6930426719116043,51.85,44.86,459,False
28,3.689093304472947,52.48,45.24,478,True
29,3.686479164953047,53.18,45.55,497,True
30,3.680894498349557,53.71,45.71,516,True
31,3.676472525187146,54.12,45.86,536,True
32,3.6736034277073233,54.33,45.9,555,True
33,3.670700174949836,54.8,46.02,574,True
34,3.6671948386691615,55.26,46.29,593,True
35,3.6649880217713333,55.55,46.24,612,False
36,3.662201970567994,55.55,46.09,631,False
37,3.6590853318613323,56.1,46.18,650,False
38,3.6566438780597044,56.44,46.34,670,True
39,3.654223815225828,56.45,46.27,689,False
40,3.652361351367179,56.8,46.32,708,False
41,3.6501676210736305,56.99,46.4,727,True
42,3.647041462795226,57.27,46.33,746,False
43,3.645467289266824,57.69,46.59,765,True
44,3.6434496168944976,57.69,46.41,784,False
45,3.640994283961457,58.05,46.5,804,False
46,3.6389577236862394,58.5,46.75,823,True
47,3.6357413011904898,58.83,47.1,842,True
48,3.6328484628999664,59.16,47.16,861,True
49,3.630117407135686,59.43,47.23,880,True
50,3.6262568172655607,59.77,47.33,900,True
51,3.6244882427754495,60.28,47.49,919,True
52,3.6218973969488593,60.28,47.46,938,False
53,3.619805467425951,60.43,47.43,957,False
54,3.6182623550171997,60.64,47.62,976,True
55,3.61622190343376,60.97,47.6,994,False
56,3.614469770579457,61.32,47.68,1014,True
57,3.6127301913549363,61.43,47.78,1033,True
58,3.611218408864621,61.47,47.77,1052,False
59,3.608794365563221,61.86,47.91,1071,True
60,3.607507987696048,61.68,47.7,1091,False
61,3.605993341541026,62.16,47.63,1110,False
62,3.605232185934389,62.14,47.64,1129,False
63,3.603472545206382,62.31,47.88,1148,False
64,3.6026521138537295,62.45,47.85,1168,False
65,3.600731446142012,62.44,47.74,1187,False
66,3.6000178269732364,62.94,47.81,1206,False
67,3.5978213842555755,62.73,47.76,1225,False
68,3.598028203457016,63.19,47.83,1244,False
69,3.595432943914736,63.32,47.87,1264,False
70,3.5946348089920845,63.28,47.96,1283,True
71,3.593193550189116,63.78,47.96,1302,False
72,3.5917567335007266,63.85,47.93,1321,False
73,3.5903809506477082,63.86,48.19,1341,True
74,3.588512476131196,64.07,48.11,1360,False
75,3.587215094024785,64.23,48.23,1379,True
76,3.5866865253184312,64.52,48.3,1399,True
77,3.585366793286437,64.5,48.09,1418,False
78,3.5844027494129382,64.7,48.15,1437,False
79,3.5838097806122162,64.58,48.11,1456,False
80,3.582423876527274,64.74,48.13,1476,False
81,3.5816782425645317,65.11,48.17,1495,False
82,3.580190637435279,65.17,48.18,1514,False
83,3.5800732384097875,64.92,48.19,1533,False
84,3.5782098281416537,65.4,48.2,1552,False
85,3.577625044164895,65.13,48.2,1572,False
86,3.5783064054980502,65.57,48.3,1591,True
87,3.5759174506750133,65.56,48.22,1610,False
88,3.573472124057463,65.82,48.16,1629,False
89,3.573245322605249,65.87,48.23,1649,False
90,3.5723812256493397,66.01,48.21,1668,False
91,3.572121525735406,66.01,48.28,1687,False
92,3.571582667385112,66.01,48.31,1706,True
93,3.5701800006908724,66.31,48.58,1725,True
94,3.5698655880058903,66.38,48.33,1744,False
95,3.5696367510798237,66.29,48.27,1763,False
96,3.5684069490829002,66.31,48.38,1783,False
97,3.5679455919609175,66.39,48.24,1802,False
98,3.567171773752017,66.64,48.33,1821,False
99,3.5659384100060714,66.67,48.41,1840,False
100,3.565056637713784,66.83,48.28,1860,False
101,3.565021509609064,66.62,48.29,1879,False
102,3.564410648187442,66.92,48.24,1899,False
103,3.563492665990898,67.04,48.47,1918,False
104,3.563081100706909,67.05,48.38,1937,False
105,3.5619176563463713,67.09,48.24,1956,False
106,3.561647872185113,67.22,48.41,1976,False
107,3.5607884643480716,67.22,48.27,1995,False
108,3.560119970353356,67.17,48.36,2014,False
109,3.5599722479188873,67.4,48.27,2033,False
110,3.5589097761381367,67.52,48.48,2053,False
111,3.557753448010812,67.59,48.44,2072,False
112,3.557450363840753,67.92,48.37,2091,False
113,3.5575579229814522,67.73,48.35,2110,False
114,3.556302763418478,67.73,48.26,2127,False
