Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.159202056695085,1.32,1.36,5,True
2,4.159107519118167,1.39,1.48,10,True
3,4.159045414371385,1.46,1.55,15,True
4,4.1589667098956875,1.52,1.58,20,True
5,4.15885169993448,1.59,1.64,26,True
6,4.15879132075863,1.66,1.73,31,True
7,4.158709987092413,1.73,1.79,36,True
8,4.158625268145819,1.8,1.86,41,True
9,4.158554672536271,1.86,1.9,46,True
10,4.15847593644706,1.94,1.96,51,True
11,4.158368353027006,2.03,2.03,55,True
12,4.158269653004178,2.07,2.06,58,True
13,4.158207392824289,2.13,2.1,62,True
14,4.158141881721455,2.19,2.19,66,True
15,4.158037075021649,2.19,2.22,71,True
16,4.157965546813459,2.25,2.28,75,True
17,4.1578273562436605,2.31,2.33,80,True
18,4.1577568502057325,2.32,2.37,86,True
19,4.157674478562497,2.34,2.38,91,True
20,4.157557081781039,2.37,2.4,96,True
21,4.157469528156091,2.39,2.39,102,False
22,4.157354294265831,2.43,2.43,107,True
23,4.157255412465301,2.44,2.45,113,True
24,4.1571294484217525,2.43,2.46,118,True
25,4.157011058449086,2.42,2.48,124,True
26,4.15687679322385,2.45,2.49,129,True
27,4.156750931924219,2.46,2.47,134,False
28,4.156626182366471,2.44,2.42,140,False
29,4.156430239176882,2.43,2.47,145,False
30,4.156292227750325,2.36,2.4,150,False
31,4.1561000834512445,2.32,2.38,156,False
32,4.155872558361917,2.29,2.36,161,False
33,4.155662573503526,2.26,2.31,167,False
34,4.155446250135728,2.63,2.71,172,True
35,4.155169018065732,2.62,2.71,178,False
36,4.1548632627034054,2.58,2.67,184,False
37,4.15451000540296,2.57,2.61,189,False
38,4.15416979394565,2.55,2.62,194,False
39,4.153739370693818,2.55,2.59,200,False
40,4.153336498618785,2.54,2.58,205,False
41,4.152890447753569,2.53,2.56,210,False
42,4.15254952499221,2.83,2.84,216,True
43,4.1522105649031325,2.82,2.84,222,False
44,4.1519250764372595,2.82,2.84,227,False
45,4.151609889710147,2.82,2.84,233,False
46,4.1514229273927805,2.82,2.84,239,False
47,4.151166246740858,3.37,3.25,244,True
48,4.151014918121843,3.37,3.25,250,False
49,4.150797322310137,3.4,3.27,256,True
50,4.150626654124392,3.56,3.44,261,True
51,4.150627955547354,3.71,3.59,267,True
52,4.150515548432071,3.38,3.28,272,False
53,4.150252792716685,3.38,3.29,278,False
54,4.150245389885665,3.39,3.29,283,False
55,4.150094343153811,3.45,3.36,289,False
56,4.149995903942466,3.45,3.36,294,False
57,4.149907968320899,3.47,3.38,300,False
58,4.149791641129974,3.66,3.52,305,False
59,4.14979755812587,3.68,3.54,311,False
60,4.149650181196012,3.67,3.53,316,False
61,4.149487735158172,4.1,3.83,322,True
62,4.149389525144798,4.12,3.84,327,True
63,4.14934122496547,4.22,3.95,331,True
64,4.149238683900781,4.24,3.96,335,True
65,4.149119066270017,4.21,3.92,339,False
66,4.148970632921925,4.58,4.29,344,True
67,4.148761683406092,4.6,4.34,348,True
68,4.148609632945193,4.62,4.35,352,True
69,4.148430165664926,4.52,4.2,356,False
70,4.148237678886119,4.6,4.29,360,False
71,4.148130113907282,4.24,4.0,365,False
72,4.147867321309464,3.84,3.76,369,False
73,4.147734339065973,3.85,3.77,373,False
74,4.147438220556269,3.95,3.85,378,False
75,4.147247633222717,3.99,3.86,383,False
76,4.146821533118822,3.94,3.88,388,False
77,4.146475517947371,3.93,3.86,392,False
78,4.146099180147793,3.95,3.91,397,False
79,4.1454460660397014,3.9,3.86,403,False
80,4.144678961506206,3.95,3.89,409,False
81,4.143596472661139,3.98,3.95,414,False
82,4.1422903788023895,4.04,3.98,420,False
83,4.140884301939063,4.07,4.03,425,False
84,4.13972263705006,4.13,4.11,431,False
85,4.138789677488211,4.16,4.13,436,False
86,4.137974789129436,4.2,4.14,442,False
87,4.137392470849812,4.25,4.18,448,False
88,4.136942352379225,4.28,4.21,453,False
89,4.1364338542875005,4.31,4.26,459,False
