Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.086791136258197,12.72,12.1,11,True
2,4.047751918063599,15.29,14.68,26,True
3,4.03002107242468,17.2,16.49,42,True
4,4.0150547773884275,18.24,17.17,59,True
5,4.005691100355661,19.33,18.0,76,True
6,3.9960794884742463,20.12,18.54,93,True
7,3.9889113348276664,20.97,19.18,109,True
8,3.9835570287836557,21.53,19.61,122,True
9,3.9777272513698674,21.97,20.02,133,True
10,3.972928676578807,22.68,20.27,148,True
11,3.968691741330472,23.16,20.48,164,True
12,3.964242108971128,23.59,20.94,180,True
13,3.9594528628848598,24.11,21.25,197,True
14,3.9554283599113824,24.32,21.4,212,True
15,3.951372826858901,24.82,21.67,228,True
16,3.948714239775639,25.33,21.97,245,True
17,3.945468963348304,25.52,21.91,260,False
18,3.942817518255387,26.03,22.3,276,True
19,3.939619841668084,26.2,22.26,293,False
20,3.9358808578216467,26.66,22.65,307,True
21,3.9325037557332467,26.99,22.73,318,True
22,3.9302356527122435,27.31,23.02,329,True
23,3.9271225935864646,27.59,23.09,341,True
24,3.9250640056800314,27.84,23.15,355,True
25,3.922143518099164,27.95,23.39,370,True
26,3.921210720928752,28.33,23.41,386,True
27,3.919118645448764,28.54,23.67,401,True
28,3.9166370950577334,28.71,23.83,416,True
29,3.914567827848186,28.94,23.82,432,False
30,3.9132840706040652,29.14,23.82,447,False
31,3.911609554554947,29.25,23.82,462,False
32,3.9100954981722,29.52,23.96,477,True
33,3.9086661418058863,29.68,24.08,493,True
34,3.906960004584611,29.79,23.98,509,False
35,3.9054107025389526,30.02,24.29,527,True
36,3.903012032654147,30.2,24.28,543,False
37,3.9019486778660823,30.38,24.4,560,True
38,3.9004871924498072,30.49,24.28,577,False
39,3.8986145446175025,30.54,24.3,593,False
40,3.8981599352036156,30.49,24.33,608,False
41,3.8994229004984087,30.54,24.27,620,False
42,3.897256139242748,30.65,24.41,632,True
43,3.895217320265202,31.15,24.52,646,True
44,3.8939285047166567,31.21,24.55,662,True
45,3.8930348709349487,31.23,24.5,679,False
46,3.89134388815333,31.41,24.57,695,True
47,3.8905719706886694,31.63,24.6,711,True
48,3.889072733242426,31.61,24.68,727,True
49,3.8888853349183736,31.86,24.77,743,True
50,3.887365530732596,31.98,24.78,759,True
51,3.886802828543074,32.17,24.86,776,True
52,3.8857055615189995,32.3,25.06,792,True
53,3.8845160344300838,32.26,24.86,809,False
54,3.88395544498581,32.26,24.81,824,False
55,3.8833121962824686,32.41,24.88,840,False
56,3.882626402741324,32.43,24.86,857,False
57,3.882192485550434,32.6,24.9,872,False
58,3.8806534407871913,32.66,24.97,889,False
59,3.8797483827268646,32.78,25.07,906,True
60,3.879200674490255,32.81,24.99,922,False
61,3.8780600291540086,32.93,25.21,940,True
62,3.8783247219888786,32.98,25.13,956,False
63,3.8774023584381694,33.03,25.16,972,False
64,3.8766440559292104,33.15,25.23,988,True
65,3.87594117880528,33.17,25.09,1005,False
66,3.8745452935015394,33.28,25.25,1021,True
67,3.874562127438278,33.34,25.34,1038,True
68,3.8737379051641745,33.34,25.41,1055,True
69,3.8743250178498245,33.46,25.46,1071,True
70,3.8734734269720694,33.29,25.32,1087,False
71,3.8726440995023523,33.42,25.37,1103,False
72,3.8730199303983652,33.55,25.58,1116,True
73,3.87170577379475,33.73,25.56,1127,False
74,3.87120601477055,33.68,25.5,1138,False
75,3.8716001728565077,33.8,25.5,1149,False
76,3.870143970294012,33.81,25.45,1161,False
77,3.869952909834167,33.89,25.49,1172,False
78,3.8700726045465865,33.9,25.48,1183,False
79,3.869800219575454,33.94,25.21,1194,False
80,3.8696077114327134,33.79,25.34,1205,False
81,3.868805572266724,33.97,25.33,1217,False
82,3.8679501785796107,34.13,25.48,1228,False
83,3.8667932329415615,34.09,25.33,1239,False
84,3.8666021605938097,34.1,25.49,1250,False
85,3.866571965970491,34.14,25.3,1261,False
86,3.867398736879766,34.17,25.39,1272,False
87,3.8660705320722837,34.36,25.55,1284,False
88,3.8654265225428954,34.31,25.4,1295,False
89,3.8656396020482453,34.34,25.49,1306,False
90,3.8654214074406927,34.43,25.38,1317,False
91,3.8646761948382093,34.41,25.45,1328,False
92,3.8642818075798226,34.49,25.63,1340,True
93,3.8640001810818827,34.48,25.63,1351,True
94,3.8638340145597168,34.56,25.57,1364,False
95,3.8636874188346546,34.41,25.53,1377,False
96,3.86301467491319,34.63,25.68,1390,True
97,3.862909377777015,34.72,25.53,1404,False
98,3.8632343053157308,34.7,25.41,1417,False
99,3.862748331640566,34.73,25.56,1430,False
100,3.8627330999295135,34.63,25.58,1444,False
101,3.8629795639798914,34.69,25.64,1457,False
102,3.862482825144506,34.67,25.6,1470,False
103,3.86186881474841,34.73,25.56,1482,False
104,3.8618414903941907,34.84,25.5,1493,False
105,3.861592696314043,34.78,25.56,1504,False
106,3.862173929108807,34.7,25.49,1515,False
107,3.860784517430863,34.92,25.53,1526,False
108,3.8616080237887904,34.85,25.53,1538,False
109,3.8613557240969585,34.83,25.45,1550,False
110,3.8612171791266867,34.83,25.49,1561,False
111,3.8605278020420233,34.86,25.45,1572,False
112,3.8604346966149072,34.93,25.55,1583,False
113,3.860504005093984,34.92,25.61,1594,False
114,3.8597117639314433,34.99,25.67,1605,False
115,3.859942164777719,35.02,25.56,1616,False
116,3.8603766677782474,34.96,25.67,1628,False
117,3.858549473358323,35.17,25.59,1639,False
