Epoch,Loss,Train_Acc,Dev_Acc,Time,Is_Best
1,4.069279859600965,16.75,16.18,8,True
2,4.017017159765778,19.58,18.61,16,True
3,3.9980600903899384,21.33,20.16,23,True
4,3.9856544115536763,22.4,21.19,31,True
5,3.977047992214932,23.25,21.81,39,True
6,3.9706186475516025,23.77,22.36,46,True
7,3.9654555208465068,24.39,22.97,54,True
8,3.9615860658999624,24.86,23.4,62,True
9,3.9571143207127366,25.35,23.71,69,True
10,3.953552158255326,25.79,24.2,77,True
11,3.949946038940937,26.06,24.5,86,True
12,3.9471507845162686,26.46,24.68,94,True
13,3.945344906434458,26.69,24.98,103,True
14,3.9421778451702933,27.11,25.26,111,True
15,3.9397639673502494,27.24,25.47,120,True
16,3.93775035469816,27.61,25.66,128,True
17,3.935963019109499,27.8,25.89,137,True
18,3.9345783936349967,28.0,26.05,145,True
19,3.9326343490146205,28.15,26.22,153,True
20,3.9309396578664595,28.35,26.41,162,True
21,3.9290092123512417,28.63,26.62,170,True
22,3.92849890016783,28.72,26.67,178,True
23,3.9263391131509375,28.97,26.85,187,True
24,3.925800530864261,29.04,26.96,195,True
25,3.924358709367028,29.25,27.08,203,True
26,3.923427969464965,29.38,27.16,212,True
27,3.9219563694211583,29.28,27.18,220,True
28,3.9207532524732343,29.56,27.3,229,True
29,3.920103770543994,29.67,27.35,237,True
30,3.9188889090044015,29.91,27.66,248,True
31,3.917601152140018,30.12,27.81,259,True
32,3.9169554604717898,30.31,27.81,269,False
33,3.9161105103109684,30.31,27.99,280,True
34,3.915092959628541,30.28,27.88,291,False
35,3.914621772528355,30.49,28.02,301,True
36,3.9135957385034112,30.6,28.17,312,True
37,3.9131419955858564,30.67,28.32,323,True
38,3.91171736664389,30.87,28.38,334,True
39,3.9109840551571833,30.79,28.25,344,False
40,3.9097484809209764,31.07,28.55,355,True
41,3.909581646034262,31.17,28.64,366,True
42,3.908451419788054,31.26,28.75,377,True
43,3.908362764400789,31.42,28.79,387,True
44,3.9062483284281893,31.49,28.75,398,False
45,3.9062901058355526,31.52,28.76,409,False
46,3.905680660395741,31.63,28.9,419,True
47,3.9052377480218947,31.68,28.88,430,False
48,3.905032848056994,31.7,28.78,441,False
49,3.9042181988502143,31.87,29.0,451,True
50,3.903942337987165,31.79,28.95,462,False
51,3.9028243503412052,31.95,29.07,473,True
52,3.9026154963263515,31.94,28.95,484,False
53,3.9028505849706168,32.05,29.18,494,True
54,3.9025042453300918,32.07,29.1,505,False
55,3.902400498244901,32.09,29.13,516,False
56,3.9009919800586648,32.21,29.27,527,True
57,3.9005866189412464,32.25,29.19,537,False
58,3.900538408855322,32.35,29.32,548,True
59,3.899857137341909,32.35,29.42,558,True
60,3.8998750808166336,32.45,29.5,569,True
61,3.8981004573631814,32.48,29.46,580,False
62,3.8981924215512262,32.54,29.43,590,False
63,3.8982019166867157,32.57,29.39,601,False
64,3.8988383265413407,32.59,29.47,612,False
65,3.8973110118401015,32.62,29.5,623,False
66,3.8971687789769054,32.73,29.59,633,True
67,3.8970015861321023,32.75,29.58,644,False
68,3.8966927739721915,32.81,29.74,655,True
69,3.8963306333219574,32.84,29.68,666,False
70,3.895772995380814,32.88,29.77,676,True
